Date,Open,High,Low,Close,Adj Close,Volume
2002-12-31,1140.949951,1140.949951,776.820007,776.820007,510.767883,853738
2003-01-31,801.094971,1213.780029,801.094971,995.299988,654.420776,1755876
2003-02-28,1043.849976,1310.880005,1019.580017,1310.880005,861.917969,2253804
2003-03-31,1165.229980,1432.260010,1165.229980,1359.430054,893.840393,2878917
2003-04-30,1359.430054,1407.989990,1213.780029,1238.060059,814.038269,16205563
2003-05-31,1262.329956,1626.469971,1238.060059,1529.359985,1005.571228,15759643
2003-06-30,1505.089966,1505.089966,1262.329956,1383.709961,922.056641,241265250
2003-07-31,1383.709961,1505.089966,1238.060059,1432.260010,954.408813,121044303
2003-08-31,1432.260010,1699.290039,1432.260010,1699.290039,1132.348389,115248364
2003-09-30,1699.290039,1942.050049,1675.020020,1772.119995,1180.879639,62063820
2003-10-31,1747.839966,1917.770020,1675.020020,1723.569946,1148.527710,35532055
2003-11-30,1747.839966,2014.880005,1723.569946,1966.319946,1310.288208,40561280
2003-12-31,1966.319946,2500.389893,1966.319946,2209.080078,1472.054810,39177173
2004-01-31,2184.810059,2791.699951,2087.699951,2694.590088,1795.582397,161652440
2004-02-29,2718.870117,3083.000000,2621.770020,2694.590088,1795.582397,286209013
2004-03-31,2694.590088,3519.959961,2621.770020,3180.110107,2182.265137,185913926
2004-04-30,3204.379883,3204.379883,2330.459961,2888.800049,1982.361938,135873486
2004-05-31,2840.250000,2864.520020,2476.110107,2743.139893,1882.406128,82175054
2004-06-30,2718.870117,3301.479980,2718.870117,3107.280029,2132.288086,104717222
2004-07-31,3058.729980,3471.409912,3034.449951,3252.929932,2232.236328,60787337
2004-08-31,3252.929932,3884.100098,3155.830078,3617.070068,2482.117432,96896614
2004-09-30,3641.340088,3762.719971,3277.209961,3471.409912,2382.162354,102321298
2004-10-31,3471.409912,4272.509766,3398.590088,4272.509766,2931.895508,321932105
2004-11-30,4272.509766,4321.060059,3762.719971,4248.229980,2915.233887,166239346
2004-12-31,4248.229980,4272.509766,3956.929932,4054.030029,2904.151611,103568436
2005-01-31,4078.300049,4660.919922,4078.300049,4636.640137,3321.511719,121494859
2005-02-28,4636.640137,5729.049805,4369.609863,4612.370117,3304.125488,138207104
2005-03-31,4612.370117,4782.299805,4272.509766,4515.259766,3234.559082,72401871
2005-04-30,4539.540039,5000.779785,4442.439941,4685.189941,3356.290771,58190594
2005-05-31,4685.189941,5389.189941,4685.189941,4903.669922,3512.802002,52229366
2005-06-30,4903.669922,5486.290039,4758.020020,5437.740234,3945.541016,58253931
2005-07-31,5437.740234,5486.290039,3689.889893,4369.609863,3170.521729,234629989
2005-08-31,4296.779785,4296.779785,3617.070068,3908.370117,2835.853027,123847024
2005-09-30,3956.929932,4078.300049,3714.169922,3811.270020,2765.398926,15206665
2005-10-31,3787.000000,3859.820068,3228.659912,3787.000000,2747.788818,5512794
2005-11-30,3811.270020,4758.020020,3787.000000,4612.370117,3346.665283,20638577
2005-12-31,4612.370117,4903.669922,4223.959961,4515.259766,3276.203125,24476768
2006-01-31,4515.259766,4612.370117,3956.929932,4151.129883,3011.995850,9021450
2006-02-28,4126.850098,4709.470215,3932.649902,4660.919922,3381.891602,32666581
2006-03-31,4782.299805,5923.250000,4685.189941,5000.779785,3628.489502,37016624
2006-04-30,5097.879883,5583.390137,4223.959961,4466.709961,3240.975830,20162257
2006-05-31,4490.990234,4612.370117,3787.000000,3859.820068,2800.625977,2006719
2006-06-30,4005.479980,4418.160156,3762.719971,4126.850098,3033.296875,24871224
2006-07-31,4126.850098,4903.669922,4126.850098,4758.020020,3497.216553,44612217
2006-08-31,4806.569824,5194.979980,4612.370117,5146.430176,3782.703613,13664504
2006-09-30,5243.529785,5874.700195,5097.879883,5777.600098,4246.622070,4011806
2006-10-31,6068.899902,6408.759766,5777.600098,6068.899902,4460.732910,11855594
2006-11-30,6068.899902,6602.970215,5874.700195,6554.419922,4817.597656,36760183
2006-12-31,6602.970215,6748.620117,5534.839844,5729.049805,4210.938965,35971350
2007-01-31,5826.149902,6020.350098,5049.330078,5583.390137,4103.875488,28558039
2007-02-28,5680.490234,6602.970215,5146.430176,6360.209961,4674.849121,41056687
2007-03-31,6457.310059,6700.069824,6214.560059,6263.109863,4603.479980,27303684
2007-04-30,6311.660156,7331.240234,6166.009766,6797.169922,4996.022461,18058815
2007-05-31,7039.930176,7379.790039,6602.970215,6700.069824,5022.473145,9818044
2007-06-30,6748.620117,8787.769531,6700.069824,8205.160156,6150.710449,59371864
2007-07-31,7865.299805,8059.500000,5971.799805,7816.750000,5859.552734,49015807
2007-08-31,7865.299805,8302.259766,7671.089844,8205.160156,6150.710449,11903470
2007-09-30,8205.160156,8884.879883,7962.399902,8399.360352,6296.285645,27636833
2007-10-31,8593.570313,8787.769531,7816.750000,8059.500000,6041.521973,46073001
2007-11-30,8156.609863,8350.809570,7137.029785,7768.200195,5823.159668,48544094
2007-12-31,7768.200195,7768.200195,5923.250000,6991.379883,5240.842773,41785267
2008-01-31,6991.379883,7573.990234,6457.310059,7428.339844,5568.395508,71366893
2008-02-29,7137.029785,7525.439941,6020.350098,6700.069824,5022.473145,61764160
2008-03-31,6700.069824,6700.069824,5097.879883,5534.839844,4148.998535,153776745
2008-04-30,5583.390137,6311.660156,5486.290039,5534.839844,4148.998535,113406495
2008-05-31,5534.839844,5583.390137,4490.990234,4563.819824,3539.678467,50785048
2008-06-30,4709.470215,5583.390137,4515.259766,5389.189941,4179.832520,22818245
2008-07-31,5146.430176,5340.640137,4806.569824,5243.529785,4066.858887,7715624
2008-08-31,5146.430176,5340.640137,3932.649902,4758.020020,3690.300293,10113608
2008-09-30,4685.189941,4806.569824,1772.119995,2524.659912,1958.115479,48031254
2008-10-31,2646.040039,3350.030029,1728.420044,2548.939941,1976.946899,40727633
2008-11-30,2476.110107,3155.830078,2281.909912,3010.179932,2334.682373,60647840
2008-12-31,3180.110107,3277.209961,2063.429932,2209.080078,1713.352783,60846605
2009-01-31,2136.250000,2718.870117,2014.880005,2548.939941,1976.946899,52688738
2009-02-28,2451.840088,3131.550049,2379.010010,3034.449951,2353.506104,54200012
2009-03-31,2403.290039,3107.280029,2257.629883,3034.449951,2353.506104,290863430
2009-04-30,3107.280029,4078.300049,2913.070068,3641.340088,2824.207520,132744377
2009-05-31,3884.100098,4758.020020,3738.439941,4685.189941,3633.813232,98765319
2009-06-30,4636.640137,4903.669922,4175.410156,4685.189941,3719.705322,77702519
2009-07-31,4782.299805,4855.120117,4102.580078,4563.819824,3623.345703,11547153
2009-08-31,4563.819824,4903.669922,4296.779785,4806.569824,3816.072266,86475720
2009-09-30,4830.850098,4952.229980,4126.850098,4418.160156,3507.702393,30430304
2009-10-31,4466.709961,4466.709961,4126.850098,4296.779785,3411.335449,37866761
2009-11-30,4272.509766,4466.709961,4175.410156,4418.160156,3507.702393,55439429
2009-12-31,4490.990234,5340.640137,4369.609863,4709.470215,3738.982178,16803453
2010-01-31,4515.259766,5097.879883,4151.129883,4830.850098,3835.349121,125997335
2010-02-28,5000.779785,5437.740234,4782.299805,5049.330078,4008.805420,142070548
2010-03-31,5292.080078,5680.490234,4903.669922,5631.939941,4471.357422,134826137
2010-04-30,5534.839844,5680.490234,4466.709961,5000.779785,3970.261230,170230492
2010-05-31,4903.669922,5389.189941,4709.470215,5243.529785,4245.557129,121196717
2010-06-30,5049.330078,5631.939941,4952.229980,5194.979980,4206.247070,108355135
2010-07-31,5194.979980,5340.640137,4903.669922,5194.979980,4206.247070,101464470
2010-08-31,5194.979980,5971.799805,5049.330078,5631.939941,4560.043457,151457024
2010-09-30,5729.049805,6894.270020,5583.390137,6505.859863,5267.634766,97408443
2010-10-31,6505.859863,6894.270020,5874.700195,6311.660156,5110.395508,77813680
2010-11-30,6166.009766,6700.069824,5389.189941,5534.839844,4481.423828,140243612
2010-12-31,5340.640137,6117.459961,4855.120117,5777.600098,4677.980469,408802711
2011-01-31,5729.049805,6505.859863,5631.939941,6214.560059,5031.775879,237178334
2011-02-28,6117.459961,6554.419922,6068.899902,6360.209961,5149.704590,176856485
